PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
Patton Kizzire (2018),171.88,298.7,"31' 2""",228.9,29.53,3.78,"34' 9""",1386,"72' 11""",80.17,"3,541,151",2.42,3.02,115.57,4.04,4.61,55.59,70.841,336,7,2641.3,4,46.83,55.24,-0.033,1.487,USA,"Auburn University  (2008, Business)"
Patton Kizzire (2019),172.02,294.9,"33' 10""",148,28.58,3.61,"37' 1""",406,"78' 1""",73.45,"995,341",2.5,3.02,114.79,4.03,4.73,60.71,71.292,267,9,2873.1,1,50.42,57.92,-0.098,1.498,USA,"Auburn University  (2008, Business)"
Paul Casey (2015),173.34,297.8,"29' 3""",147.6,29.77,3.84,"32' 9""",1389,"77' 1""",82.05,"3,488,311",2.37,3.05,117.16,3.99,4.58,64.16,69.806,315,10,2658.4,8,38.46,56.13,1.216,1.479,ENG,Arizona State University
Paul Casey (2016),173.38,295.2,"31' 9""",266.4,29.69,3.69,"35' 1""",710,"71' 3""",82.24,"3,885,560",2.26,3.03,117.62,4.01,4.64,64.67,69.95,273,5,2439.4,7,50.44,61.44,1.372,1.474,ENG,Arizona State University
Paul Casey (2017),174.12,297.5,"32' 1""",162,29.03,3.87,"35' 6""",1135,"73' 0""",79.7,"3,906,974",2.11,3.02,116.27,3.97,4.63,64.13,69.469,348,10,2693.6,9,39.17,64.12,1.543,1.498,ENG,Arizona State University
Paul Casey (2018),175.97,304.3,"30' 11""",182.6,29.07,3.77,"35' 2""",1319,"67' 5""",79.27,"3,641,771",2.44,3.01,117.34,4.03,4.57,63.14,69.85,268,7,2679.6,5,54.46,60.58,0.966,1.499,ENG,Arizona State University
Paul Casey (2019),174.48,298.4,"31' 4""",103.8,29.29,3.87,"34' 5""",1629,"69' 3""",78.59,"4,257,040",2.29,3.04,116.35,3.99,4.53,67.68,69.821,290,13,2736.7,7,43.7,58.67,1.361,1.499,ENG,Arizona State University
Paul Goydos (2018),,,,,,,,3,,,"18,067",,,,,,,,,,,,,,,,USA,"Long Beach State University  (1988, Finance)"
Peter Malnati (2016),160.26,279.7,"35' 9""",306,28.34,3.38,"36' 8""",596,"75' 7""",73.23,"1,298,945",2.87,3.04,107.92,4.08,4.7,60.54,71.686,287,5,2542.5,3,51.39,58.79,-0.652,1.485,USA,"University of Missouri  (2009, Communications)"
Peter Malnati (2017),160.58,282.3,"33' 3""",306,28.4,3.49,"35' 6""",182,"79' 0""",69.83,"358,541",2.59,3,108.21,4.07,4.73,63.1,71.399,297,5,2696,,53.06,61.5,-0.184,1.484,USA,"University of Missouri  (2009, Communications)"
Peter Malnati (2018),165.3,290.9,"33' 9""",373.5,28.07,3.73,"37' 6""",226,"76' 9""",76.02,"420,001",2.54,3.05,111.46,4.01,4.71,56.86,70.841,310,4,2583.2,,56.69,61.3,0.244,1.483,USA,"University of Missouri  (2009, Communications)"
Peter Malnati (2019),169.74,292.2,"33' 4""",298.8,28.01,3.86,"36' 7""",423,"74' 3""",74.53,"864,496",2.42,3.02,113.96,4,4.65,54.62,70.762,320,5,2782.1,1,50,62.64,0.379,1.489,USA,"University of Missouri  (2009, Communications)"
Peter Uihlein (2015),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,Oklahoma State University
Peter Uihlein (2017),,,,,,,,,,,,,,,,,,,,,,1,,,,,USA,Oklahoma State University
Peter Uihlein (2018),181.46,302.2,"34' 4""",156,29.41,3.65,"37' 8""",593,"73' 8""",83.94,"1,797,715",2.79,3.11,122.9,4.02,4.58,52.93,70.578,285,9,2961.6,4,54.24,57.87,0.268,1.476,USA,Oklahoma State University
Peter Uihlein (2019),183.01,297.5,"32' 10""",200.6,28.85,3.77,"37' 7""",353,"76' 7""",79.27,"842,991",2.55,3.06,123.39,4.01,4.68,50.55,71.512,294,7,2948.7,2,55.38,58.7,-0.181,1.483,USA,Oklahoma State University
Phil Mickelson (2015),172.74,300.5,"34' 0""",210,28.23,3.97,"38' 4""",849,"77' 6""",72.46,"2,154,200",2.89,3.09,118.09,4.05,4.58,55.98,70.585,278,6,2646.2,3,53.29,59.38,0.581,1.463,USA,"Arizona State University  (1992, Psychology)"
Phil Mickelson (2016),172.91,294.8,"31' 2""",216,28.21,4.06,"36' 3""",1532,"77' 10""",76.63,"4,022,628",2.15,2.93,115.41,4.04,4.59,54.82,69.582,292,6,2709.4,6,61.54,64.32,1.364,1.498,USA,"Arizona State University  (1992, Psychology)"
Phil Mickelson (2017),170.49,293.5,"33' 3""",120,28.25,3.86,"36' 1""",734,"75' 6""",76.95,"2,102,599",2.66,3.07,114.24,4.04,4.54,55.05,70.168,309,12,2624.8,5,53.33,60,1.048,1.492,USA,"Arizona State University  (1992, Psychology)"
Phil Mickelson (2018),174.07,300.3,"31' 5""",130.5,28.11,4.31,"36' 2""",1546,"80' 6""",79.1,"4,595,187",2.49,3.07,116.48,4,4.56,52.91,70.098,375,12,2702.9,6,58.6,58.36,0.931,1.494,USA,"Arizona State University  (1992, Psychology)"
Phil Mickelson (2019),178.05,306.3,"32' 0""",360,28.92,3.92,"36' 3""",903,"72' 5""",78.87,"2,440,221",2.82,3.1,120.11,4.03,4.76,50.77,71.331,235,3,2438.7,2,55.1,54.26,-0.438,1.483,USA,"Arizona State University  (1992, Psychology)"
Rafa Cabrera Bello (20,167.46,,"31' 9""",,,,"35' 0""",,,,,,,,,,,,,,,,,,,1.493,ESP,University of Las Palmas
Rafa Cabrera Bello (201,,,"36' 3""",,,3.48,"37' 9""",615,,,,2.57,,,4,4.77,64.52,,,1,2409.8,4,56.9,57.98,,1.503,ESP,University of Las Palmas
